episode,total_reward,reward_per_step,rolling_20ep,best_cumul,throughput_err,sinr_dl_err,sinr_ul_err,delay_err,bler_err,algo
221,-43.5364,-0.34013,-45.284,-43.5202,1.06813,0.0016,3.58662,0.006722,0.008105,ppo
222,-45.8223,-0.35799,-45.3989,-43.5202,1.06728,0.00169,3.94377,0.007569,0.012116,ppo
223,-45.9755,-0.35918,-45.4573,-43.5202,1.0689,0.00186,3.9639,0.006635,0.011461,ppo
224,-45.5661,-0.35599,-45.4979,-43.5202,1.06737,0.00177,3.90573,0.006363,0.009292,ppo
225,-46.0015,-0.35939,-45.5478,-43.5202,1.06885,0.00183,3.9684,0.006588,0.010921,ppo
226,-44.3133,-0.3462,-45.4534,-43.5202,1.06833,0.00152,3.70113,0.012905,0.008562,ppo
227,-44.7925,-0.34994,-45.3877,-43.5202,1.06782,0.00149,3.77714,0.013177,0.008897,ppo
228,-44.1886,-0.34522,-45.3093,-43.5202,1.06741,0.00166,3.69074,0.006557,0.008144,ppo
229,-45.7678,-0.35756,-45.3029,-43.5202,1.06812,0.00185,3.93289,0.007015,0.012775,ppo
230,-44.7185,-0.34936,-45.2507,-43.5202,1.06837,0.00149,3.76401,0.013127,0.008839,ppo
231,-45.881,-0.35845,-45.3636,-43.5202,1.06823,0.00179,3.95209,0.006435,0.009761,ppo
232,-46.1067,-0.36021,-45.3589,-43.5202,1.06815,0.00144,3.98603,0.0081,0.010348,ppo
233,-45.7777,-0.35764,-45.3725,-43.5202,1.068,0.00182,3.93474,0.007136,0.012692,ppo
234,-45.9918,-0.35931,-45.3837,-43.5202,1.06708,0.00151,3.9711,0.007987,0.010916,ppo
235,-45.8012,-0.35782,-45.4472,-43.5202,1.06769,0.00178,3.94133,0.006409,0.009613,ppo
236,-45.9733,-0.35917,-45.4676,-43.5202,1.06672,0.00152,3.96927,0.007971,0.010981,ppo
237,-46.2063,-0.36099,-45.4802,-43.5202,1.0683,0.00139,3.99557,0.013888,0.009899,ppo
